年 月 日 时 气温 露点温度 海平面压力 风向 风速 天气条件覆盖代码 液体沉淀深度(一小时) 液体沉淀深度(六小时)
2020 01 01 00    87    53 10328   340    20     1 -9999     0
2020 01 01 01   110    50 -9999    10    30 -9999 -9999 -9999
2020 01 01 02   120    60 -9999   360    30 -9999 -9999 -9999
2020 01 01 03   135    33 10323    47    12     4 -9999 -9999
2020 01 01 04   140    70 -9999    20    40 -9999 -9999 -9999
2020 01 01 05   150    70 -9999    30    50 -9999 -9999 -9999
2020 01 01 06   169    52 10285   180    10     2 -9999     0
2020 01 01 07   140    80 -9999    50    60 -9999 -9999 -9999
2020 01 01 08   140    80 -9999    50    60 -9999 -9999 -9999
2020 01 01 09   140    74 10283   157    31     1 -9999 -9999
2020 01 01 10   130    90 -9999    30    40 -9999 -9999 -9999
2020 01 01 11   130    90 -9999    20    30 -9999 -9999 -9999
2020 01 01 12   110    79 10297   190    20     6 -9999     0
2020 01 01 13   130   100 -9999    10    50 -9999 -9999 -9999
2020 01 01 14   130    90 -9999   350    30 -9999 -9999 -9999
2020 01 01 15   107    82 10299   302    16 -9999 -9999 -9999
2020 01 01 16   130    90 -9999   350    20 -9999 -9999 -9999
2020 01 01 17   130    90 -9999   350    30 -9999 -9999 -9999
2020 01 01 18   109    81 10284   300    20 -9999 -9999     0
2020 01 01 19   130    80 -9999   350    20 -9999 -9999 -9999
2020 01 01 20   130    80 -9999   320    20 -9999 -9999 -9999
2020 01 01 21   106    77 10279   313    22 -9999 -9999 -9999
2020 01 01 22   130    90 -9999 -9999    10 -9999 -9999 -9999
2020 01 01 23   130    80 -9999 -9999    10 -9999 -9999 -9999
2020 01 02 00   118    86 10293   310    20     7 -9999     0
2020 01 02 01   150    80 -9999   320    20 -9999 -9999 -9999
2020 01 02 02   160    80 -9999   350    30 -9999 -9999 -9999
2020 01 02 03   161    86 10289   337     8     2 -9999 -9999
2020 01 02 04   180    90 -9999    30    40 -9999 -9999 -9999
2020 01 02 05   180    90 -9999    30    40 -9999 -9999 -9999
2020 01 02 06   203    92 10259   170    20     6 -9999     0
2020 01 02 07   190   100 -9999    50    50 -9999 -9999 -9999
2020 01 02 08   170   100 -9999    50    50 -9999 -9999 -9999
